Trajectory for A states:
State             eta               Uncorr_Re         Uncorr_Im         
3                 0.03700000        -109.35029409     -5.27344653       
4                 0.03700000        -109.35363778     -3.33925298       
5                 0.03700000        -109.33154153     -1.67907171       
1                 0.03750000        -109.34116461     -8.14390003       
2                 0.03750000        -109.35039696     -6.02597765       
3                 0.03750000        -109.35029409     -5.34470932       
4                 0.03750000        -109.35363778     -3.38437802       
5                 0.03750000        -109.33154153     -1.70176114       
1                 0.03800000        -109.34116461     -8.25248608       
2                 0.03800000        -109.35039696     -6.10632402       
3                 0.03800000        -109.35029409     -5.41597211       
4                 0.03800000        -109.35363778     -3.42950306       
5                 0.03800000        -109.33154153     -1.72445057       
1                 0.03850000        -109.34116461     -8.36107212       
2                 0.03850000        -109.35039696     -6.18667039       
3                 0.03850000        -109.35029409     -5.48723490       
4                 0.03850000        -109.35363778     -3.47462810       
5                 0.03850000        -109.33154153     -1.74714001       
1                 0.03900000        -109.34116461     -8.46965815       
2                 0.03900000        -109.35039696     -6.26701676       
3                 0.03900000        -109.35029409     -5.55849769       
4                 0.03900000        -109.35363778     -3.51975314       
5                 0.03900000        -109.33154153     -1.76982946       
1                 0.03950000        -109.34116461     -8.57824417       
2                 0.03950000        -109.35039696     -6.34736313       
3                 0.03950000        -109.35029409     -5.62976048       
4                 0.03950000        -109.35363778     -3.56487818       
5                 0.03950000        -109.33154153     -1.79251892       
1                 0.04000000        -109.34116461     -8.68683019       
2                 0.04000000        -109.35039696     -6.42770949       
3                 0.04000000        -109.35029409     -5.70102327       
4                 0.04000000        -109.35363778     -3.61000322       
5                 0.04000000        -109.33154153     -1.81520839       
1                 0.04050000        -109.34116461     -8.79541620       
2                 0.04050000        -109.35039696     -6.50805586       
3                 0.04050000        -109.35029409     -5.77228606       
4                 0.04050000        -109.35363778     -3.65512826       
5                 0.04050000        -109.33154153     -1.83789786       
1                 0.04100000        -109.34116460     -8.90400220       
2                 0.04100000        -109.35039696     -6.58840223       
3                 0.04100000        -109.35029409     -5.84354885       
4                 0.04100000        -109.35363778     -3.70025330       
5                 0.04100000        -109.33154153     -1.86058734       
1                 0.04150000        -109.34116460     -9.01258819       
2                 0.04150000        -109.35039696     -6.66874860       
3                 0.04150000        -109.35029409     -5.91481164       
4                 0.04150000        -109.35363778     -3.74537834       
5                 0.04150000        -109.33154154     -1.88327683       
1                 0.04200000        -109.34116460     -9.12117417       
2                 0.04200000        -109.35039696     -6.74909497       
3                 0.04200000        -109.35029409     -5.98607443       
4                 0.04200000        -109.35363778     -3.79050338       
5                 0.04200000        -109.33154154     -1.90596633       
1                 0.04250000        -109.34116460     -9.22976015       
2                 0.04250000        -109.35039696     -6.82944134       
3                 0.04250000        -109.35029409     -6.05733723       
4                 0.04250000        -109.35363778     -3.83562842       
5                 0.04250000        -109.33154154     -1.92865583       
1                 0.04300000        -109.34116460     -9.33834612       
2                 0.04300000        -109.35039696     -6.90978771       
3                 0.04300000        -109.35029409     -6.12860002       
4                 0.04300000        -109.35363778     -3.88075346       
5                 0.04300000        -109.33154154     -1.95134535       
1                 0.04350000        -109.34116460     -9.44693209       
2                 0.04350000        -109.35039696     -6.99013408       
3                 0.04350000        -109.35029409     -6.19986281       
4                 0.04350000        -109.35363778     -3.92587850       
5                 0.04350000        -109.33154154     -1.97403486       
1                 0.04400000        -109.34116460     -9.55551805       
2                 0.04400000        -109.35039696     -7.07048044       
3                 0.04400000        -109.35029409     -6.27112560       
4                 0.04400000        -109.35363778     -3.97100354       
5                 0.04400000        -109.33154154     -1.99672439       
1                 0.04450000        -109.34116460     -9.66410400       
2                 0.04450000        -109.35039696     -7.15082681       
3                 0.04450000        -109.35029409     -6.34238839       
4                 0.04450000        -109.35363778     -4.01612858       
5                 0.04450000        -109.33154154     -2.01941391       
1                 0.04500000        -109.34116460     -9.77268995       
2                 0.04500000        -109.35039696     -7.23117318       
3                 0.04500000        -109.35029409     -6.41365118       
4                 0.04500000        -109.35363778     -4.06125362       
5                 0.04500000        -109.33154154     -2.04210345       
1                 0.04550000        -109.34116460     -9.88127589       
2                 0.04550000        -109.35039696     -7.31151955       
3                 0.04550000        -109.35029409     -6.48491397       
4                 0.04550000        -109.35363778     -4.10637866       
5                 0.04550000        -109.33154154     -2.06479299       
1                 0.04600000        -109.34116460     -9.98986182       
2                 0.04600000        -109.35039696     -7.39186592       
3                 0.04600000        -109.35029409     -6.55617676       
4                 0.04600000        -109.35363778     -4.15150370       
5                 0.04600000        -109.33154154     -2.08748254       
1                 0.04650000        -109.34116460     -10.09844776      
2                 0.04650000        -109.35039696     -7.47221229       
3                 0.04650000        -109.35029409     -6.62743955       
4                 0.04650000        -109.35363778     -4.19662874       
5                 0.04650000        -109.33154154     -2.11017209       
1                 0.04700000        -109.34116460     -10.20703368      
2                 0.04700000        -109.35039696     -7.55255866       
3                 0.04700000        -109.35029409     -6.69870234       
4                 0.04700000        -109.35363778     -4.24175378       
5                 0.04700000        -109.33154154     -2.13286164       
1                 0.04750000        -109.34116460     -10.31561960      
2                 0.04750000        -109.35039696     -7.63290503       
3                 0.04750000        -109.35029409     -6.76996513       
4                 0.04750000        -109.35363778     -4.28687882       
5                 0.04750000        -109.33154154     -2.15555120       
1                 0.04800000        -109.34116460     -10.42420552      
2                 0.04800000        -109.35039696     -7.71325139       
3                 0.04800000        -109.35029409     -6.84122793       
4                 0.04800000        -109.35363778     -4.33200386       
5                 0.04800000        -109.33154154     -2.17824077       
1                 0.04850000        -109.34116459     -10.53279143      
2                 0.04850000        -109.35039696     -7.79359776       
3                 0.04850000        -109.35029409     -6.91249072       
4                 0.04850000        -109.35363778     -4.37712890       
5                 0.04850000        -109.33154154     -2.20093034       
1                 0.04900000        -109.34116459     -10.64137734      
2                 0.04900000        -109.35039696     -7.87394413       
3                 0.04900000        -109.35029409     -6.98375351       
4                 0.04900000        -109.35363778     -4.42225394       
5                 0.04900000        -109.33154154     -2.22361991       
1                 0.04950000        -109.34116459     -10.74996324      
2                 0.04950000        -109.35039696     -7.95429050       
3                 0.04950000        -109.35029409     -7.05501630       
4                 0.04950000        -109.35363778     -4.46737898       
5                 0.04950000        -109.33154154     -2.24630949       
1                 0.05000000        -109.34116459     -10.85854914      
2                 0.05000000        -109.35039696     -8.03463687       
3                 0.05000000        -109.35029409     -7.12627909       
4                 0.05000000        -109.35363778     -4.51250402       
5                 0.05000000        -109.33154155     -2.26899908       
